Подразделение,Поле,Field_ID,Year,Area,Yield,Агрофон,Class,Product Group,MAX_NDVI,data_quality,6_NDVI,7_NDVI,4_relative_humidity,5_relative_humidity,6_relative_humidity,7_relative_humidity,4_surface_solar_radiation_downwards_sum,5_surface_solar_radiation_downwards_sum,6_surface_solar_radiation_downwards_sum,7_surface_solar_radiation_downwards_sum,4_temperature_2m_max,5_temperature_2m_max,6_temperature_2m_max,7_temperature_2m_max,4_temperature_2m_min,5_temperature_2m_min,6_temperature_2m_min,7_temperature_2m_min,4_total_precipitation_sum,5_total_precipitation_sum,6_total_precipitation_sum,7_total_precipitation_sum,4_v_component_of_wind_10m,5_v_component_of_wind_10m,6_v_component_of_wind_10m,7_v_component_of_wind_10m,4_vapor_pressure_deficit,5_vapor_pressure_deficit,6_vapor_pressure_deficit,7_vapor_pressure_deficit,DOY_min,DOY_max,bdod,cec,clay,phh2o,sand,silt,soc
Абайское,16254,235Абайское,2020,230.0,13.1,Stubble,1.0,others,0.4979643043348475,0.9996526722528546,0.2597509975200021,0.46667933,59.41871212749494,56.17699056325092,47.16401150651978,51.9912042417947,15527122.197480423,20995281.5573495,22658541.843922373,22160042.77531385,285.1009026521885,294.5560440973001,295.2420713508458,301.00349123949525,274.5139520080795,282.66710990828585,283.91861827150274,290.3180828675819,0.0018550183727315,0.0032197710594258,0.0005962832728507,0.0007549174038484,2.0492231932079843,0.6353546386482738,-1.1724924522338642,-0.572285805454047,0.4262421658323985,0.8661058276296625,1.1072532600345812,1.4720327399804225,150,151,100.33729821580287,397.1882765211851,297.142826802591,67.81129871508972,329.9947966443666,372.7656366146331,704.6963678844518
Абайское,32,181Абайское,2020,240.0,10.6,Stubble,2.0,Шортандинская,0.6622040494646594,0.7748901599933682,0.2206801519500017,0.611386742,59.69861446479567,56.64850886015319,47.68740208446493,52.13535798145917,15478334.333333334,20985448.967741936,22629671.6,22159981.35483871,285.01138661702475,294.45916748046875,295.1492950439453,300.94908338977444,274.29993845621743,282.45562350365424,283.6731465657552,290.16514587402344,0.0018157180791183,0.0032975580653456,0.0006023162415993,0.0007123640195142,2.04479928943846,0.6478094003533804,-1.167389888233609,-0.5609731225557225,0.4192168456488004,0.8485428022225869,1.0838740195179624,1.460928130261671,154,157,104.32406275468624,395.1268466632704,304.7449821701477,67.58726439123788,327.4874172185431,367.7834946510444,681.5336185819071
Абайское,33,183Абайское,2020,270.0,16.4,Fallow,1.0,Ликамеро,0.7245946009063114,0.3486866444691084,0.2323902524128881,0.634809606,59.51034856757301,56.33108672845904,47.33519858211008,52.0385259456861,15511047.10245673,20992041.821094725,22649029.398101624,22160022.537904583,285.07140804740186,294.52412425722594,295.2115025203499,300.98556441753686,274.4434367633013,282.5974273322989,283.83773789142253,290.26769171504696,0.0018420693337576,0.0032454010707745,0.0005982710734566,0.0007408965052354,2.047765562817435,0.6394583534020791,-1.170811210338927,-0.5685583938171034,0.4239204439934614,0.8603053147449499,1.0995306935846576,1.4683670139644722,151,152,102.23691860465117,403.1730279898217,302.3246092330062,68.02699018538713,310.1461286804799,387.5022719011269,650.2270167151163
Абайское,34,184Абайское,2020,401.0,6.8,Stubble,1.0,Ликамеро,0.5449461762965487,0.9961734376941236,0.5058470201580776,0.212849198,59.38294184567893,56.11691137965542,47.09723087132323,51.97269799984592,15533424.666666666,20996551.741935484,22662271.33333333,22160050.70967742,285.1124664306641,294.56855872369584,295.2540562947591,301.01051970451107,274.5415985107422,282.69442995132937,283.9503285725912,290.3378394342238,0.0018600952272697,0.0032097224496645,0.0005955039274069,0.0007604144961729,2.049794677893321,0.6337457190277757,-1.1731516069836088,-0.5737471900960451,0.4271543004524308,0.86838369018956,1.1102862245962362,1.473471787338322,152,153,101.46019370165074,392.9615712545676,283.40073081607795,67.92241169305726,332.9633982947625,383.5487210718634,657.7212036303831
Абайское,39,191Абайское,2020,378.0,10.6,Fallow,1.0,Ликамеро,0.6307542526967204,0.9812490026065216,0.2206770764336165,0.572346534,59.960360199292936,56.76504165963022,47.71365939237043,52.42898237453591,15589660.671378383,21008986.917984925,22694335.78532755,22159681.78621283,285.1696965759366,294.58796836844334,295.2788374782373,301.0289091541227,274.5007079945688,282.68082254633816,283.8895710209821,290.337832229456,0.0019030014651402,0.003112120359394,0.000588692013227,0.0008101958775667,2.0544224444167827,0.6192945556613797,-1.179270344188804,-0.5861477164095183,0.4225885918021383,0.8541964208234926,1.097712391723465,1.4614003703940608,151,154,97.54778524365578,402.00137013114096,298.1506491811835,67.76114047106414,354.4688458276244,347.4604945520976,742.339030595603
Абайское,42,193Абайское,2020,141.0,17.3,Fallow,2.0,Шортандинская,0.6778072756724417,0.90974600456621,0.255825463125386,0.638731977,59.38294184567893,56.11691137965542,47.09723087132323,51.97269799984592,15533424.666666666,20996551.741935484,22662271.33333333,22160050.70967742,285.1124664306641,294.56855872369584,295.2540562947591,301.01051970451107,274.5415985107422,282.69442995132937,283.9503285725912,290.3378394342238,0.0018600952272697,0.0032097224496645,0.0005955039274069,0.0007604144961729,2.049794677893321,0.6337457190277757,-1.1731516069836088,-0.5737471900960451,0.4271543004524308,0.86838369018956,1.1102862245962362,1.473471787338322,154,154,101.2429676511955,389.97203658107634,286.7574744987689,68.23988744284205,332.77752374252543,380.48698557861405,642.4066455696202
Абайское,43,195Абайское,2020,318.0,9.1,others,1.0,others,0.5566385359575903,0.9685074155885136,0.2910608829840819,0.521467807,59.44402621288101,56.21953221541303,47.211285393891,52.00428918230998,15522671.41879097,20994384.55804337,22655908.093323626,22160037.172097832,285.09273635779056,294.54720631788024,295.2336076310897,300.9985277654365,274.4944281577833,282.64781660247513,283.8962245829101,290.30413085874403,0.0018514331182351,0.0032268673476998,0.0005968336435056,0.0007510353790975,2.0488196129946297,0.6364908512894378,-1.172026959769479,-0.5712537814283055,0.4255986552330068,0.8644984635517359,1.105113167271095,1.4710171176992255,149,150,102.04298747487246,399.0145432041463,296.19904076738607,68.40883422294424,322.121373868647,381.6966040071168,664.5408226380084
Абайское,47/48ж,203Абайское,2020,237.0,17.6,Fallow,1.0,others,0.6856288440165346,0.8248525695029486,0.271342379351162,0.654212709,60.13403319726412,56.72286053922734,47.73879419450443,52.40773154178765,15511981.627350423,20983092.1364128,22572055.69335963,22178839.60946745,284.8832341913327,294.42742781479205,295.11464960924656,300.8528971523094,274.3469631478474,282.5457269113133,283.6374677920169,290.10406563361954,0.001770889479666,0.0030540708340311,0.0006505713586596,0.0008029381485469,2.074384018166818,0.6548145395106887,-1.177457554994015,-0.5826869240363545,0.4128940166980847,0.8479689383949761,1.0820161011578049,1.4474396822259492,135,153,98.96802325581392,388.5796905824941,301.00591838853694,68.58643962205376,323.8462257294154,375.12054822967497,672.0347799003325
Абайское,53,210Абайское,2020,419.1,10.6,Stubble,2.0,Шортандинская,0.5215019539435835,0.9999761438999952,0.3026792190713613,0.482463187,59.76831335716143,56.60020931223434,47.696161363364496,52.00346391315812,15428197.440799274,20986109.758249097,22586912.361053582,22155024.858117253,284.98033165955087,294.4634190402048,295.19625810087865,301.03835947741374,274.2270306632088,282.4160319237526,283.62637065890914,290.16856992858527,0.001749210131576,0.0032960729006501,0.0006079810667681,0.0006824625405537,2.035179718998826,0.6590941378354348,-1.1648209641494427,-0.5428518270468972,0.4169345506837885,0.8494314300005327,1.0825479206096766,1.469599959448794,153,154,100.96832473017363,381.1337710299551,303.68702737557896,68.10106102350663,346.02972038220304,350.334134474471,643.2638432660724
Абайское,54,211Абайское,2020,425.6,20.1,Fallow,2.0,Шортандинская,0.7519424179314449,0.9248913121802416,0.2480254731105098,0.720711364,59.77578577640698,56.62582563129298,47.720049177121226,52.01948072447644,15429400.155531377,20985470.14882937,22588596.200943053,22155359.10203938,284.9788841753971,294.45858394332635,295.188624109511,301.0294937310003,274.2209769923141,282.4075809633951,283.61791988424,290.1607992128121,0.0017521035302442,0.003300702332228,0.0006076689630013,0.0006827886405196,2.0356485668872923,0.6588779056637268,-1.1647624217963768,-0.5436260716140487,0.4167754975986809,0.8485473767045267,1.0815534517540526,1.4684481162120746,154,155,101.62856639661857,384.1343625264145,317.81451044846204,68.08487907959615,321.5311692885653,360.6483916412303,657.9951860983916
Абайское,56,212Абайское,2020,141.7,14.3,Stubble,2.0,Шортандинская,0.5839358101769306,1.0,0.2050461895580496,0.552778156,59.81732504826937,56.76779163948616,47.8522957744418,52.10812460084639,15436041.0,20981938.51612903,22597893.6,22157204.64516129,284.9708918253581,294.431886734501,295.14647267659507,300.9805411061933,274.1875513712565,282.3609185987903,283.5712585449219,290.1178928498299,0.001768079563487,0.003326263950679,0.0006059456677608,0.0006845892164141,2.038237331973182,0.6576839698258267,-1.1644391775131226,-0.5479010984461795,0.4158987637245678,0.8436705825513983,1.07606818438371,1.462097891514574,152,155,100.56408808582724,396.1993974769347,310.8279043494633,68.27527772547542,331.39747693466387,357.7226511014875,737.6725014116319
Абайское,61,220Абайское,2020,436.0,14.0,others,2.0,Шортандинская,0.5996361766456445,0.90277141548328,0.2753970936442791,0.552749822,59.69861446479567,56.64850886015319,47.68740208446493,52.13535798145917,15478334.333333334,20985448.967741936,22629671.6,22159981.35483871,285.01138661702475,294.45916748046875,295.1492950439453,300.94908338977444,274.29993845621743,282.45562350365424,283.6731465657552,290.16514587402344,0.0018157180791183,0.0032975580653456,0.0006023162415993,0.0007123640195142,2.04479928943846,0.6478094003533804,-1.167389888233609,-0.5609731225557225,0.4192168456488004,0.8485428022225869,1.0838740195179624,1.460928130261671,154,155,100.64586732684413,384.80479297929816,302.4755288028804,68.50742574257428,331.32847659766,366.2213658865887,685.5931469082319
Абайское,62,222Абайское,2020,315.9,14.6,others,2.0,Шортандинская,0.6621604915927749,0.9999302236332556,0.2832713471930951,0.626931504,59.69861446479567,56.64850886015319,47.68740208446493,52.13535798145917,15478334.333333334,20985448.967741936,22629671.6,22159981.35483871,285.01138661702475,294.45916748046875,295.1492950439453,300.94908338977444,274.29993845621743,282.45562350365424,283.6731465657552,290.16514587402344,0.0018157180791183,0.0032975580653456,0.0006023162415993,0.0007123640195142,2.04479928943846,0.6478094003533804,-1.167389888233609,-0.5609731225557225,0.4192168456488004,0.8485428022225869,1.0838740195179624,1.460928130261671,154,155,98.07139799674688,373.4714444729856,303.9198561520679,67.895624625396,340.18006678653984,355.82275879784214,669.3152983477444
Абайское,63,224Абайское,2020,283.0,13.3,Stubble,2.0,Шортандинская,0.5918196137285983,1.0,0.2480241571343979,0.583966187,59.90046752056524,56.6824106074242,47.73676705230623,52.18206577850941,15459769.716293748,20982809.84614957,22580928.660240967,22165332.02148687,284.9194028669435,294.4219989570108,295.1268914284545,300.9277424428168,274.23549017717426,282.4301724780454,283.59413608106746,290.1049125010153,0.0017592354507458,0.0032127044710189,0.000625460460997,0.0007281502204133,2.051584380649659,0.6581746497609691,-1.1693903321129209,-0.5593656781883191,0.4146367188756559,0.8463725952448737,1.0792851666974517,1.457058412497611,152,154,99.61183486238534,381.7711009174312,289.36605504587163,68.18743119266055,356.558256880734,354.10733944954137,662.5256880733943
Абайское,71,239Абайское,2020,419.0,16.7,Fallow,1.0,others,0.6113002256936579,1.0,0.3418074073345317,0.560494465,59.93583223343712,56.42971441988835,47.46451825592259,52.42619707017575,15585993.4,20994353.80645161,22619872.266666666,22180328.387096774,285.10808919270835,294.6145260718561,295.3120162963868,300.9926964544481,274.59276428222654,282.7954859579763,283.9474848429362,290.34186430900326,0.0018384622181539,0.002963451919979,0.000640706103183,0.0008642159850493,2.0825807293256124,0.6363479168184342,-1.1844437890582615,-0.6019375567795129,0.4227478513070227,0.8648898627710712,1.106549632916306,1.4619281242752906,148,149,100.33194850789936,388.06394804586967,311.97267727591867,67.96986894453546,307.57775567516967,380.434004212497,652.8936805149207
Абайское,73,247Абайское,2020,386.2,14.0,Fallow,1.0,Ликамеро,0.7011253522791205,1.0,0.2323848515840345,0.662101917,60.232871164183486,56.86661897464244,47.88486030685068,52.51751642056973,15530676.450149257,20982490.733558018,22587955.40744279,22180512.792720277,284.9250760993009,294.4509389822404,295.1350429778597,300.8581502606792,274.392954085165,282.5669189902734,283.65552083910285,290.1272902603407,0.0017955095711938,0.0030568056946448,0.0006474008942153,0.0008155955422034,2.077864329634614,0.6505174766553384,-1.1784933824001458,-0.5894919600560986,0.4132340147664827,0.8462629036252551,1.0809117476465289,1.4456451956283685,152,154,99.7615009808264,387.3633084419693,334.5039235539805,67.34571573218581,311.525376534616,353.95677762308566,605.3500601151677
Абайское,73ж,248Абайское,2020,389.0,10.4,Stubble,1.0,Ликамеро,0.5488345267938188,1.0,0.2636593952168319,0.536156783,59.93583223343712,56.42971441988835,47.46451825592259,52.42619707017575,15585993.4,20994353.80645161,22619872.266666666,22180328.387096774,285.10808919270835,294.6145260718561,295.3120162963868,300.9926964544481,274.59276428222654,282.7954859579763,283.9474848429362,290.34186430900326,0.0018384622181539,0.002963451919979,0.000640706103183,0.0008642159850493,2.0825807293256124,0.6363479168184342,-1.1844437890582615,-0.6019375567795129,0.4227478513070227,0.8648898627710712,1.106549632916306,1.4619281242752906,151,153,100.64799498746864,400.09398496240624,354.7738721804513,67.5017543859649,305.2288847117796,339.9426691729324,695.351441102757
Абайское,74к,249Абайское,2020,391.0,18.3,Fallow,1.0,others,0.6503667364395969,0.8176197046348816,0.2910463696584114,0.587861044,60.24137376563777,56.87910795983783,47.89686316151299,52.52011738417733,15529114.4,20982155.741935484,22587054.133333333,22180518.0,284.91990814208987,294.4463195800781,295.1300455729167,300.8543509206464,274.38731180826824,282.56046467442667,283.6472763061523,290.1212310791016,0.0017942966664914,0.0030594418356114,0.0006475899429492,0.0008142225892439,2.0777311470773485,0.6509175992781117,-1.1783253537284004,-0.5891405190190961,0.4129673520148905,0.8457395585559603,1.080192748250184,1.445187721969927,143,147,99.04080351537976,381.9255399296836,305.3916373681566,67.71917378201908,328.3552862882973,366.1828227021598,628.4725674827371
Абайское,77,253Абайское,2020,201.8,16.0,Fallow,2.0,Шортандинская,0.7119849221903946,0.0647218788627935,0.2128739935311867,0.669858216,60.24137376563777,56.87910795983783,47.89686316151299,52.52011738417733,15529114.4,20982155.741935484,22587054.133333333,22180518.0,284.91990814208987,294.4463195800781,295.1300455729167,300.8543509206464,274.38731180826824,282.56046467442667,283.6472763061523,290.1212310791016,0.0017942966664914,0.0030594418356114,0.0006475899429492,0.0008142225892439,2.0777311470773485,0.6509175992781117,-1.1783253537284004,-0.5891405190190961,0.4129673520148905,0.8457395585559603,1.080192748250184,1.445187721969927,155,155,97.65123906705534,384.3583576287658,312.8548347910593,68.09050048590865,323.16642371234207,364.1918124392615,654.0074101068997
Абайское,79,259Абайское,2020,573.4,15.1,Fallow,1.0,others,0.5839719183619535,0.9785618501941798,0.3417916541840235,0.537148845,59.93583223343712,56.42971441988835,47.46451825592259,52.42619707017575,15585993.4,20994353.80645161,22619872.266666666,22180328.387096774,285.10808919270835,294.6145260718561,295.3120162963868,300.9926964544481,274.59276428222654,282.7954859579763,283.9474848429362,290.34186430900326,0.0018384622181539,0.002963451919979,0.000640706103183,0.0008642159850493,2.0825807293256124,0.6363479168184342,-1.1844437890582615,-0.6019375567795129,0.4227478513070227,0.8648898627710712,1.106549632916306,1.4619281242752906,148,151,100.7076758605944,389.60904892234,333.20129148135464,67.53156004105367,309.13090147109125,357.69132740335255,599.1003634808637
Абайское,80,261Абайское,2020,394.0,13.9,Fallow,1.0,others,0.5448932684858181,1.0,0.3769724869636748,0.509821211,59.93583223343712,56.42971441988835,47.46451825592259,52.42619707017575,15585993.4,20994353.80645161,22619872.266666666,22180328.387096774,285.10808919270835,294.6145260718561,295.3120162963868,300.9926964544481,274.59276428222654,282.7954859579763,283.9474848429362,290.34186430900326,0.0018384622181539,0.002963451919979,0.000640706103183,0.0008642159850493,2.0825807293256124,0.6363479168184342,-1.1844437890582615,-0.6019375567795129,0.4227478513070227,0.8648898627710712,1.106549632916306,1.4619281242752906,143,147,101.16690451076504,400.0883703611765,337.89369492366893,67.69107608290925,303.4645029167183,358.6172893136403,672.9434758329713
